rank,jarvis_id,formula,p_stable,mu,sigma,e_hull,is_stable,selection,path
20,JVASP-57362,LiGa(MoO4)2,0.6596388036786802,-0.0164972305297851,0.0030213286075045,0.0,True,top,reports\dft_qe_jarvis_50_mix\020_JVASP-57362
21,JVASP-120616,LiYb(WO4)2,0.6570483327060349,-0.0155938148498535,0.0026785984932646,0.1111,False,top,reports\dft_qe_jarvis_50_mix\021_JVASP-120616
22,JVASP-113229,Li2Co3BiO8,0.6555194064656389,-0.015062141418457,0.0041231441271815,0.0434,True,top,reports\dft_qe_jarvis_50_mix\022_JVASP-113229
23,JVASP-23304,LiVAsO5,0.6552423458190327,-0.0149659156799316,0.0021840328575774,0.081,False,top,reports\dft_qe_jarvis_50_mix\023_JVASP-23304
24,JVASP-48326,NaLiMnPCO7,0.6531038846962868,-0.0142244338989257,0.0012281217157247,0.0119,True,top,reports\dft_qe_jarvis_50_mix\024_JVASP-48326
25,JVASP-10690,LiNdTiO4,0.6515081818630379,-0.0136725425720214,0.0033566212183658,0.0,True,top,reports\dft_qe_jarvis_50_mix\025_JVASP-10690
26,JVASP-56624,RbLiMoO4,0.6512887024888437,-0.0135967254638671,0.0030766525033815,0.0,True,top,reports\dft_qe_jarvis_50_mix\026_JVASP-56624
27,JVASP-144779,NaLiMnPCO7,0.6492138856407799,-0.0128810882568359,0.0011968407724153,0.0,True,top,reports\dft_qe_jarvis_50_mix\027_JVASP-144779
28,JVASP-119277,Li2FeO3,0.6490386048546023,-0.0128207206726074,0.0020222366036684,0.0,True,top,reports\dft_qe_jarvis_50_mix\028_JVASP-119277
29,JVASP-34836,Li(CoO2)2,0.6480775860848309,-0.0124899864196777,0.0015556202792508,0.0,True,top,reports\dft_qe_jarvis_50_mix\029_JVASP-34836
30,JVASP-43029,Li2FeO3,0.6460777304116798,-0.0118030548095703,0.0020358213066974,0.0265,True,top,reports\dft_qe_jarvis_50_mix\030_JVASP-43029
31,JVASP-44377,Li2Cr3SbO8,0.6444230082543249,-0.0112360000610351,0.0023745278170483,0.0158,True,top,reports\dft_qe_jarvis_50_mix\031_JVASP-44377
32,JVASP-142677,Li2Cr3SbO8,0.6433603389329234,-0.010872459411621,0.0023413972257019,0.0,True,top,reports\dft_qe_jarvis_50_mix\032_JVASP-142677
33,JVASP-11729,Li2FeSiO4,0.6363322844326486,-0.0084800720214843,0.00271806915845,0.0601,False,top,reports\dft_qe_jarvis_50_mix\033_JVASP-11729
34,JVASP-14002,LiYMo3O8,0.6349717394590363,-0.0080192565917968,0.0031260650652626,0.0,True,top,reports\dft_qe_jarvis_50_mix\034_JVASP-14002
35,JVASP-9783,Li2TiSiO5,0.6345624774472479,-0.0078807830810546,0.0012707981836734,0.0,True,top,reports\dft_qe_jarvis_50_mix\035_JVASP-9783
36,JVASP-55805,LiMnAsO4,0.6341262246799683,-0.0077332496643066,0.0085601778028265,0.1597,False,top,reports\dft_qe_jarvis_50_mix\036_JVASP-55805
37,JVASP-55325,LiVP2O7,0.6328887462168975,-0.0073151588439941,0.001117588222503,0.0,True,top,reports\dft_qe_jarvis_50_mix\037_JVASP-55325
38,JVASP-20860,Li10Zn4O9,0.6327828127463994,-0.0072793960571289,0.0028952441489483,0.0023,True,top,reports\dft_qe_jarvis_50_mix\038_JVASP-20860
39,JVASP-153797,Li2FeSiO4,0.6313592405641414,-0.0067992210388183,0.0025645775041608,0.0461,True,top,reports\dft_qe_jarvis_50_mix\039_JVASP-153797
40,JVASP-91495,Na2Li3FeO4,0.6307710474837326,-0.0066010475158691,0.0024860539244874,0.0,True,top,reports\dft_qe_jarvis_50_mix\040_JVASP-91495
41,JVASP-43211,LiMnO2,0.6299747550057442,-0.0063329696655273,0.0023436166967851,0.0502,False,borderline,reports\dft_qe_jarvis_50_mix\041_JVASP-43211
42,JVASP-87170,LiMoP2O7,0.6296862039633062,-0.0062358856201171,0.0018294082282515,0.0336,True,borderline,reports\dft_qe_jarvis_50_mix\042_JVASP-87170
43,JVASP-45772,LiVCr(P2O7)2,0.6296674931320934,-0.0062295913696289,0.0007221159705505,0.0,True,borderline,reports\dft_qe_jarvis_50_mix\043_JVASP-45772
44,JVASP-48483,Li2Ni3TeO8,0.629163571964193,-0.0060601234436035,0.0031622216369336,0.012,True,borderline,reports\dft_qe_jarvis_50_mix\044_JVASP-48483
45,JVASP-54553,LiNbWO6,0.6288336163826741,-0.0059492111206054,0.0027818172333815,0.0,True,borderline,reports\dft_qe_jarvis_50_mix\045_JVASP-54553
76,JVASP-97999,LiV(SiO3)2,0.6131935835236969,-0.0007359504699707,0.0024443527337716,0.0125,True,random,reports\dft_qe_jarvis_50_mix\076_JVASP-97999
1753,JVASP-116825,Li3V2(CO3)4,0.4106250213671998,0.0637543678283691,0.0018476766291,0.1645,False,random,reports\dft_qe_jarvis_50_mix\1753_JVASP-116825
2669,JVASP-44507,Li2MnBAsO7,0.3099863560125226,0.0981748580932617,0.0024185984392078,0.1149,False,random,reports\dft_qe_jarvis_50_mix\2669_JVASP-44507
3310,JVASP-133661,Li5Fe3(CuO5)2,0.1586774860492561,0.1662562370300292,0.0030562236951621,0.139,False,random,reports\dft_qe_jarvis_50_mix\3310_JVASP-133661
2675,JVASP-43165,Li2MnV3O8,0.3091215876798598,0.0984922409057617,0.0053843522578998,0.0395,True,random,reports\dft_qe_jarvis_50_mix\2675_JVASP-43165
